voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Wheat semolina porridge, INGRED Cow milk, whole",0.1,86.82857142857142,0.019114285714285716,9.771428571428572,69.88571428571429,111.05714285714285,0.0015714285714285713,0.1322,0.363,0.509,0.12157142857142857,0.026571428571428572,0.00025142857142857145,0.03514285714285714,0.09459999999999999,0.001
"Wheat semolina porridge, INGRED Tap water",0.1,7.628571428571428,0.025857142857142856,6.428571428571429,16.8,25.942857142857143,0.001,0.11,0.21000000000000002,0.181,0.007857142857142858,0.0071428571428571435,0.0,0.02214285714285714,0.119,0.015
"Wheat semolina, PROCESS Cooking in water",0.087,2.0,0.016,3.0,9.0,41.42857142857143,,0.10900000000000001,0.342,0.29,0.03,0.010833333333333334,0.0,0.005,0.08700000000000001,0.0
"Wheat semolina, PROCESS Steaming",0.087,2.0,0.016,3.0,9.0,96.39999999999999,,0.10900000000000001,0.342,0.29,0.03,0.010833333333333334,0.0,0.005,0.08700000000000001,0.0
Wheat starch,0.0,0.0,0.05,4.0,20.0,16.0,,0.0,0.1,0.077,0.0,0.0,0.0,0.0,0.0,0.0
Wheat wholemeal flour,1.0,30.25714285714286,0.5252857142857142,121.28571428571429,331.85714285714283,358.57142857142856,0.0044714285714285715,3.915714285714286,3.2714285714285714,7.742857142857143,0.13785714285714284,0.41428571428571426,0.0,0.3485714285714286,1.0939999999999999,0.0026
"Wheat, popped",0.21,86.2,0.48571428571428577,85.8,233.97142857142856,278.0,0.0022485714285714288,7.048571428571428,1.7771428571428571,14.214285714285714,0.556,0.6333333333333333,0.00085,0.8649999999999999,1.8960000000000001,0.002
Whey powder,,833.7142857142857,0.22857142857142856,166.57142857142858,710.0,1942.857142857143,0.011,0.8971428571428571,1.1055714285714286,4.805428571428571,2.415714285714286,0.4984285714285714,0.0023957142857142857,0.5862857142857143,0.06,0.0
"Whey, sour",0.0,103.0,0.007428571428571429,9.971428571428572,52.857142857142854,143.71428571428572,0.0002,0.11285714285714286,0.23714285714285716,0.4,0.13571428571428573,0.03842857142857143,0.0002,0.05,0.0,0.0
"Whey, sweet",0.39,123.71428571428571,0.002,11.857142857142858,140.71428571428572,137.6,0.0020714285714285717,0.088,0.11142857142857143,0.5452857142857143,0.14633333333333334,0.055285714285714285,0.0002685714285714286,0.07528571428571429,0.001,0.0025
Whisky,0.0,1.5766666666666669,0.0325,0.11,5.0,2.766666666666667,0.0,0.04,0.030000000000000002,0.045,0.003,0.01,0.0,0.0,0.0,0.0
White chocolate,0.43500000000000005,248.85714285714286,0.02033333333333333,24.3,217.42857142857142,336.14285714285717,0.005016666666666667,0.21285714285714286,0.8527142857142858,2.86,0.4414285714285714,0.0662857142857143,0.0005425,0.07014285714285715,0.9686,0.005314285714285714
White ginger,0.28,116.0,0.48,184.0,148.0,1343.0,0.0385,11.5,4.72,5.160000000000001,0.185,0.046,0.0,0.84,0.28,
Whitefishes or coregonus,2.7,46.142857142857146,0.10142857142857142,28.857142857142858,267.7142857142857,385.85714285714283,0.022,0.792,1.276,6.464428571428571,0.08714285714285715,0.07857142857142858,0.0025714285714285717,0.39999999999999997,2.6759999999999997,0.0
